,USDC,XDB-WETH,XDB,WETH,ETH
7/13/2021,0,0,0,0,548.5550872
7/14/2021,0,0,0,0,568.881183
7/15/2021,0,0,0,0,546.2306766
7/16/2021,0,0,0,0,534.054775
7/17/2021,0,0,0,0,540.026506
7/18/2021,0,0,0,0,536.0284744
7/19/2021,0,0,0,0,517.3684917
7/20/2021,0,0,0,0,502.6866403
7/21/2021,0,0,0,0,561.7180481
7/22/2021,0,0,0,0,569.9744454
7/23/2021,0,0,0,0,593.8365865
7/24/2021,0,0,0,0,615.0054385
7/25/2021,0,0,0,0,613.824625
7/26/2021,0,0,0,0,636.7624546
7/27/2021,0,0,0,0,653.5426376
7/28/2021,0,0,0,0,650.3263043
7/29/2021,0,0,0,0,661.6543792
7/30/2021,0,0,0,0,692.2792419
7/31/2021,0,0,0,0,719.4690534
8/1/2021,0,0,0,0,737.6496564
8/2/2021,0,0,0,0,745.7752147
8/3/2021,0,0,0,0,713.4934078
8/4/2021,0,0,0,0,774.0530747
8/5/2021,0,0,0,0,799.7465723
8/6/2021,0,0,0,0,820.2740266
8/7/2021,0,0,0,0,878.9715109
8/8/2021,0,0,0,0,864.8938198
8/9/2021,0,0,0,0,891.3041465
8/10/2021,0,0,0,0,897.1575315
8/11/2021,0,0,0,0,897.9155908
8/12/2021,0,0,0,0,851.1914203
8/13/2021,0,0,0,0,933.2549083
8/14/2021,0,0,0,0,923.4182776
8/15/2021,0,0,0,0,934.8996781
8/16/2021,0,0,0,0,904.6358888
8/17/2021,0,0,0,0,863.9089399
8/18/2021,0,0,0,0,860.4072742
8/19/2021,0,0,0,0,898.2701451
8/20/2021,0,0,0,0,926.339506
8/21/2021,0,0,0,0,921.7967398
8/22/2021,0,0,0,0,911.638342
8/23/2021,0,0,0,0,946.3135345
8/24/2021,0,0,0,0,910.8909332
8/25/2021,0,0,0,0,914.0047419
8/26/2021,0,0,0,0,888.8820692
8/27/2021,0,0,0,0,927.3441236
8/28/2021,0,0,0,0,918.9379816
8/29/2021,0,0,0,0,3855.52182
8/30/2021,0,0,0,0,3902.901779
8/31/2021,0,0,0,0,4041.138962
9/1/2021,0,0,0,0,4474.702647
9/2/2021,0,0,0,0,4525.496449
9/3/2021,0,0,0,0,4615.47714
9/4/2021,0,0,0,0,4621.229242
9/5/2021,0,0,0,0,4683.62985
9/6/2021,0,0,0,0,4083.397067
9/7/2021,0,0,0,0,3553.398044
9/8/2021,0,0,0,0,3664.169086
9/9/2021,0,0,0,0,3562.135591
9/10/2021,0,0,0,0,3269.823113
9/11/2021,0,0,0,0,3365.655166
9/12/2021,0,0,0,0,3489.053868
9/13/2021,0,1991.799595,0,0,2348.174087
9/14/2021,0,2247.155449,0,0,1579.664822
9/15/2021,0,2266.170146,0,0,1655.792695
9/16/2021,0,2232.255252,0,0,1638.586025
9/17/2021,0,2224.788081,0,0,1562.05284
9/18/2021,0,2290.641291,0,0,1574.628662
9/19/2021,0,2236.554344,0,0,1523.828561
9/20/2021,0,1988.600452,0,0,1378.479239
9/21/2021,0,1832.612844,0,0,1261.031041
9/22/2021,0,2059.91882,0,0,1415.190099
9/23/2021,0,2087.079546,0,0,1452.261706
9/24/2021,0,1994.410883,0,0,1367.46799
9/25/2021,0,1925.138011,0,0,1355.392722
9/26/2021,0,1956.922466,0,0,1402.805868
9/27/2021,0,1989.599232,0,0,1388.660697
9/28/2021,0,1846.328084,0,0,1313.041115
9/29/2021,0,1707.373133,0,0,1107.928828
9/30/2021,0,1759.841664,0,0,1176.010242
10/1/2021,0,1808.173389,0,0,1282.902511
10/2/2021,0,1855.626399,0,0,1342.872342
10/3/2021,0,1829.733188,0,0,1332.718338
10/4/2021,0,1782.994906,0,0,1317.094314
10/5/2021,0,1920.798295,0,0,1372.857775
10/6/2021,0,1998.467692,0,0,1400.041114
10/7/2021,0,2218.461078,0,0,1407.215544
10/8/2021,0,2273.683638,0,0,1398.526399
10/9/2021,0,0,0,526.8501767,451.2653575
10/10/2021,0,0,0,508.6524322,435.6783613
10/11/2021,0,0,0,517.8649663,443.5692147
10/12/2021,0,0,0,514.0664689,440.3156706
10/13/2021,0,0,0,528.6924311,452.843312
10/14/2021,0,0,0,555.5842336,475.8770688
10/15/2021,0,0,0,566.7920329,485.4769357
10/16/2021,0,0,0,562.4321964,481.7425853
10/17/2021,0,0,0,561.8770439,481.267078
10/18/2021,0,0,0,549.9716104,471.0696633
10/19/2021,0,0,0,569.3742085,487.6886582
10/20/2021,0,0,0,607.0202815,519.9338189
10/21/2021,0,0,0,599.6910131,513.6560475
10/22/2021,0,0,0,583.7770216,500.0251646
10/23/2021,0,0,0,605.9132803,518.9856342
10/24/2021,0,0,0,599.9778912,513.9017685
10/25/2021,0,0,0,619.6628706,530.7626327
10/26/2021,0,0,0,604.3289994,517.6286428
10/27/2021,10.02117275,0,0,584.6049254,500.7342928
10/28/2021,9.995473059,0,0,626.5874831,536.6938023
10/29/2021,10.01139072,0,0,649.7701654,556.5505697
10/30/2021,10.01076628,0,0,630.5171835,540.0597263
10/31/2021,10.00019882,0,0,633.2776741,542.4241818
11/1/2021,10.00611138,0,0,635.7996509,544.5843419
11/2/2021,9.991969892,0,0,669.4851647,573.4371469
11/3/2021,10.01013785,0,0,675.4229797,578.5230903
