,current_price,open_quantity,market_value,average_price,book_value,closed_quantity,realized_profits,unrealized_profits,pct_profits
WETH-USDT,245814237.2919404,5.8744249637706e-05,14440.172919980047,214870277.185241,12622.393202692881,8.900026198425e-05,2183.659898918381,1817.779717287165,0.14401228737664085
WBTC,61227.47153954326,8.296e-05,5.079431038920509,60123.5390841895,4.987848802424367,0.10617132,-9.782452130156049,0.0915822364961425,0.018361069094882856
DAI,1.0,46.72143536177155,46.72143536177155,1.0,46.721435361771455,42208.331472599355,-5.044853423896711e-13,9.237055564881302e-14,1.9770487557493306e-15
USDC,1.0,54.92428,54.92428,0.9999999999999999,54.92428000000018,47302.128725,2.561506562415161e-12,-1.7763568394002505e-13,-3.2341923087571553e-15
DAI-WETH,208.31789359978677,454.6632409383659,94714.48864953272,185.66535678371935,84415.21284526386,-0.0,0.0,10299.275804268866,0.12200734271851936
USDC-WETH,238148848.63610646,0.000354981908531608,84538.5328034501,209948499.5436217,74527.91906134225,4.813350642218803e-05,242.91012920245203,10010.613742107846,0.13432031738157527
WBTC-WETH,3948998616.696716,3.161589313293e-06,12485.111824757178,3253951943.12464,10287.659689351854,8.226256625e-08,0.37946285509369204,2197.452135405323,0.21360078013464767
EQX,0.3381542582183183,0.0,0.0,0.3703222148601392,0.0,39871.54,-1822.5809544367119,0.0,0.0
USDT,1.0,12.18063,12.18063,1.0,12.180630000000747,196773.89853,-1.6484591469634324e-12,-7.460698725481052e-13,-6.125051598710899e-14
ETH,4478.026866280822,2.389453105277347,10700.035201150096,4311.441495917299,10301.9872706412,55.95568553491898,689.2482377742929,398.04793050889566,0.03863797537813508
